No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2615,[CLL2024] F200DB-045 B,110.84898,-73.44565,G_Lens,6115767.0,20.4,PLE,,0.382,1,0,0,1,1,0,0
2618,SMACS J0723-7327:[ICR2022] 389,110.84926,-73.44335,IrS,119917.0,0.4,PSE,,0.244,1,0,0,1,1,0,0
2619,SMACS J0723-7327:[ICR2022] 405,110.84958,-73.44226,IrS,179876.0,0.6,PSE,,0.179,1,0,0,1,1,0,0
2620,SMACS J0723-7327:[CSM2022] 21,110.84972,-73.4626,G,96803.0,0.3229,SLS,,1.398,3,0,0,3,5,0,0
2623,[HOO2023] F150DB-007,110.84987,-73.46631,G,1436006.0,4.79,PSE,,1.62,2,0,0,2,3,0,0
2625,SMACS J0723-7327:[ICR2022] 265,110.85035,-73.45379,IrS,114761.0,0.3828,SLS,,0.869,2,0,0,2,2,0,0
2626,[MS2023] WDF-C-3407,110.85042,-73.45253,G,80944.0,0.27,PUN,,0.794,1,0,0,1,2,0,0
2627,SMACS J0723-7327:[ICR2022] 042,110.8505,-73.46842,IrS,119917.0,0.4,PSE,,1.747,1,0,0,1,1,0,0
2628,SMACS J0723-7327:[LCB2023]1520,110.85052,-73.44046,G,911369.0,3.04,SLS,,0.07,1,0,0,1,1,0,0
2630,[CSM2022] 0308,110.85101,-73.44317,G,119917.0,0.4,PSE,,0.233,2,0,0,2,1,0,0
2633,SMACS J0723:[NDA2023] 00949.1,110.85189,-73.44038,VisS,500653.0,1.67,S1L,,0.069,1,0,0,1,1,0,0
2634,SMACS J0723-7327:[ICR2022] 429,110.85194,-73.44039,IrS,500893.0,1.6708,S1L,,0.07,2,0,0,2,3,0,0
2635,SMACS J0723-7327:[CSM2022] 76,110.85201,-73.45235,G,444173.0,1.4816,SLS,,0.783,3,0,0,3,4,0,0
2636,SMACS J0723-7327:[ICR2022] 363,110.85202,-73.4451,IrS,104927.0,0.35,PSE,,0.349,1,0,0,1,1,0,0
2637,SMACS J0723-7327:[CSM2022] 75,110.85206,-73.45254,G,444173.0,1.4816,S1L,,0.795,1,0,0,1,1,0,0
2638,SMACS J0723:[NDA2023] 00738.2,110.8521,-73.45242,VisS,444203.0,1.4817,SLS,,0.788,1,0,0,1,1,0,0
2639,WISEA J072324.52-732734.9,110.85217,-73.45972,IrS,324226.0,1.0815,SLS,,1.225,1,0,12,2,1,0,0
2640,SMACS J0723:[NDA2023] 00738.1,110.8522,-73.45262,VisS,444173.0,1.4816,SLS,,0.8,1,0,0,1,1,0,0
2641,SMACS J0723-7327:[CSM2022] 49,110.85227,-73.45561,G,155562.0,0.5189,SLS,,0.979,4,0,0,4,3,0,0
2642,SMACS J0723:[NDA2023] 00949.2,110.85233,-73.44042,VisS,501163.0,1.6717,S1L,,0.074,1,0,0,1,1,0,0
2643,[HOO2023] F150DB-050,110.85242,-73.45417,G,899378.0,3.0,PSE,,0.893,3,0,0,3,3,0,0
2644,SMACS J0723:[NDA2023] 01155.1,110.85244,-73.45958,VisS,324226.0,1.0815,SLS,,1.217,1,0,0,1,1,0,0
2646,SMACS J0723-7327:[ICR2022] 417,110.8526,-73.44159,IrS,104927.0,0.35,PSE,,0.142,1,0,0,1,1,0,0
2647,SMACS J0723-7327:[ICR2022] 090,110.85278,-73.46534,IrS,594369.0,1.9826,SLS,,1.563,2,0,0,2,2,0,0
2648,[CLL2024] F200DB-045 A,110.85283,-73.45739,G_Lens,6115767.0,20.4,PLE,,1.086,1,0,0,1,1,0,0
2650,SMACS J0723-7327:[ICR2022] 368,110.853,-73.44484,IrS,1828734.0,6.1,PSE,,0.335,1,0,0,1,2,0,0
2651,[HOO2023] F150DB-095,110.85317,-73.43367,G,854409.0,2.85,PSE,,0.341,2,0,0,2,3,0,0
