No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
187,WISEA J201105.35-565040.6,302.77231,-56.84461,G,16905.0,0.05639,SLS,20.0V,12.332,6,0,12,6,2,0,0
199,WISEA J201106.29-564701.1,302.77623,-56.78364,G,15710.0,0.052403,UUN,17.3V,12.652,8,0,27,5,2,2,0
234,WISEA J201108.28-564925.5,302.78452,-56.82378,G,30867.0,0.10296,SLS,18.6V,11.964,5,0,12,4,1,0,0
239,[OCN2009] J201108.56-564927.4,302.78571,-56.82428,G,30852.0,0.10291,SLS,18.2r,11.923,2,0,0,1,1,0,0
243,WISEA J201108.76-564158.1,302.78653,-56.69949,G,16141.0,0.053841,UUN,15.2V,14.535,19,0,44,9,7,4,0
244,WISEA J201108.83-564843.7,302.7868,-56.81214,G,17568.0,0.0586,SLS,18.2r,11.966,4,0,12,4,3,0,0
251,WISEA J201109.35-564810.3,302.78867,-56.80275,G,16303.0,0.05438,SLS,19.2V,11.995,7,0,12,6,3,0,0
290,WINGS J201111.09-564233.8,302.79623,-56.70933,G,6886.0,0.02297,SLS,20.2V,13.937,6,0,0,5,2,0,0
301,WISEA J201111.28-564826.0,302.79704,-56.80725,G,17799.0,0.05937,SLS,18.0V,11.678,4,0,17,4,1,0,0
304,WISEA J201111.49-565838.5,302.79789,-56.97737,G,17658.0,0.0589,SLS,17.8V,14.157,5,0,18,5,1,0,0
315,WISEA J201111.71-565720.9,302.79881,-56.95581,*,27.0,9e-05,SLS,18.0r,13.417,2,0,18,3,1,0,0
350,WISEA J201113.83-565501.0,302.80756,-56.91694,G,11662.0,0.0389,SLS,20.0V,12.1,7,0,12,6,3,0,0
356,2MASX J20111398-5657231,302.8085,-56.95655,G,18588.0,0.062003,UUN,16.8V,13.171,14,0,16,5,4,2,0
385,WINGS J201115.11-565127.2,302.81314,-56.85753,G,16905.0,0.05639,SLS,19.4V,11.041,6,0,0,5,2,0,0
433,WISEA J201117.21-565618.4,302.82174,-56.93846,G,18224.0,0.060789,UUN,16.92,12.244,13,0,29,7,6,2,0
452,WISEA J201118.63-564513.4,302.82779,-56.75369,*,9.0,3e-05,SLS,18.0r,11.698,2,0,12,2,1,0,0
478,WISEA J201120.03-564751.5,302.83362,-56.79768,G,57602.0,0.19214,SLS,18.3r,10.615,3,0,12,3,2,0,0
479,WISEA J201120.21-570049.0,302.83411,-57.01363,G,70883.0,0.23644,SLS,18.7r,14.676,2,0,12,3,1,0,0
484,WISEA J201120.81-565539.3,302.8367,-56.92754,G,17664.0,0.05892,SLS,17.9r,11.503,4,0,18,5,3,0,0
486,WISEA J201120.86-564353.2,302.83692,-56.73146,*,45.0,0.00015,SLS,18.6r,12.088,2,0,18,3,1,0,0
489,WISEA J201120.98-564203.2,302.83743,-56.7009,G,16947.0,0.05653,SLS,15.18,13.149,21,0,29,9,9,3,0
491,WISEA J201121.04-564026.8,302.83771,-56.67403,G,16414.0,0.05475,SLS,18.6r,14.216,4,0,12,4,3,0,0
500,WISEA J201121.36-565529.4,302.83926,-56.92485,G,17988.0,0.06,SLS,18.4r,11.355,4,0,12,4,3,0,0
504,WISEA J201121.68-564932.8,302.8403,-56.82581,G,84236.0,0.28098,SLS,20.5V,10.129,6,0,12,5,2,0,0
509,WISEA J201121.87-564541.1,302.84115,-56.76142,G,18098.0,0.06037,SLS,19.5V,11.102,4,0,12,3,1,0,0
528,WISEA J201122.41-564249.7,302.84338,-56.71381,*,27.0,9e-05,SLS,18.5r,12.516,2,0,17,3,1,0,0
560,WISEA J201123.61-563935.4,302.84839,-56.65986,G,16686.0,0.05566,SLS,18.9V,14.582,5,0,12,4,1,0,0
563,WISEA J201123.66-564434.4,302.84862,-56.74291,G,17706.0,0.05906,SLS,18.4V,11.401,5,0,12,4,1,0,0
576,ABELL S0854,302.85036,-56.73432,GClstr,16069.0,0.0536,SUN,15.7J,11.623,7,0,0,1,2,0,0
585,WISEA J201124.44-565233.7,302.85187,-56.87597,G,17919.0,0.05977,SLS,19.1V,9.962,6,0,12,6,2,0,0
593,WISEA J201124.64-565330.9,302.8526,-56.89206,G,36344.0,0.12123,SLS,19.9V,10.196,5,0,12,5,1,0,1
595,WISEA J201124.75-564104.0,302.85312,-56.68445,G,17181.0,0.05731,UUN,16.4V,13.416,14,0,28,7,4,2,0
628,WISEA J201125.98-564643.1,302.85826,-56.77866,G,15978.0,0.053297,UUN,17.3V,10.18,7,0,18,5,2,0,0
631,WINGS J201126.05-565625.1,302.85858,-56.94024,G,10790.0,0.03599,SLS,18.6V,11.262,6,0,0,5,2,0,0
655,[OCN2009] J201126.91-564421.5,302.86212,-56.73931,*,288.0,0.00096,SLS,18.8r,11.136,1,0,0,1,1,0,0
665,WISEA J201127.21-570056.3,302.86341,-57.01565,*,24.0,8e-05,SLS,18.9r,14.112,2,0,12,2,1,0,0
673,WISEA J201127.51-564407.0,302.86464,-56.73529,G,16429.0,0.054801,UUN,15.3V,11.198,40,0,57,16,8,7,0
685,WISEA J201127.76-565521.8,302.8657,-56.92274,G,17844.0,0.05952,SLS,18.5V,10.529,5,0,12,4,1,0,0
703,WISEA J201128.58-564516.5,302.86909,-56.75459,G,17343.0,0.05785,UUN,16.6V,10.468,14,0,48,9,5,2,0
710,[OCN2009] J201128.75-565141.9,302.86983,-56.86164,*,138.0,0.00046,SLS,18.4r,9.225,2,0,0,1,1,0,0
722,2MASS J20112907-5659016,302.87113,-56.9838,*,126.0,0.00042,SLS,15.9r,12.558,2,0,6,2,1,0,0
735,WISEA J201129.53-565156.1,302.87305,-56.86559,G,81840.0,0.27299,SLS,19.5V,9.159,5,0,12,4,1,0,0
744,WISEA J201129.89-565608.2,302.87457,-56.93562,*,27.0,9e-05,SLS,17.5r,10.672,2,0,18,3,1,0,0
754,WISEA J201130.16-565616.1,302.87569,-56.93782,G,18021.0,0.06011,SLS,17.6V,10.714,8,0,20,6,2,0,0
